許可證字號,中文品名,英文品名,適應症,劑型,主成分略述,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001082號,杜避炎注射劑300毫克,Dupixent solution for injection 300mg,"1. 異位性皮膚炎：可用於治療患有中度至重度異位性皮膚炎且對局部處方治療控制不佳或不適合使用該療法的成人病人及6個月以上的兒童病人。可併用或不併用局部皮質類固醇治療。
２.氣喘：可作為6歲以上患有嗜伊紅性白血球表現型或口服皮質類固醇依賴型之中度至重度氣喘病人，在已接受中劑量或高劑量吸入性皮質類固醇(ICS)及第2種控制藥物(如，LABA, LTRA, LAMA或methylxanthines)治療，或單獨接受高劑量ICS治療，仍有氣喘控制不佳現象時的附加維持治療(add-on maintenance therapy)。
３.慢性鼻竇炎合併鼻息肉：可作為患有慢性鼻竇炎合併鼻息肉(CRSwNP)之成人病人在鼻內皮質類固醇治療下仍控制不佳的附加維持治療(add-on maintenance therapy)。
４. 結節性癢疹：可用於需全身性治療的中至重度結節性癢疹(PN)成人病人。
５.嗜伊紅性食道炎：可用於治療1歲以上且體重至少達15公斤之嗜伊紅性食道炎(EoE)病人。
６.慢性阻塞性肺病：可作為患有控制不佳之嗜伊紅性白血球表現型慢性阻塞性肺病(COPD)成人病人的附加維持治療(add-on maintenance therapy)。
７.慢性自發性蕁麻疹：可用於治療患有慢性自發性蕁麻疹 （chronic spontaneous urticaria， CSU） 且無法以 H1 抗組織胺治療妥善控制的12 歲以上病人。",預充填式注射劑,dupilumab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001082號,杜避炎注射劑300毫克,Dupixent solution for injection 300mg,"1. 異位性皮膚炎：可用於治療患有中度至重度異位性皮膚炎且對局部處方治療控制不佳或不適合使用該療法的成人病人及6個月以上的兒童病人。可併用或不併用局部皮質類固醇治療。
２.氣喘：可作為6歲以上患有嗜伊紅性白血球表現型或口服皮質類固醇依賴型之中度至重度氣喘病人，在已接受中劑量或高劑量吸入性皮質類固醇(ICS)及第2種控制藥物(如，LABA, LTRA, LAMA或methylxanthines)治療，或單獨接受高劑量ICS治療，仍有氣喘控制不佳現象時的附加維持治療(add-on maintenance therapy)。
３.慢性鼻竇炎合併鼻息肉：可作為患有慢性鼻竇炎合併鼻息肉(CRSwNP)之成人病人在鼻內皮質類固醇治療下仍控制不佳的附加維持治療(add-on maintenance therapy)。
４. 結節性癢疹：可用於需全身性治療的中至重度結節性癢疹(PN)成人病人。
５.嗜伊紅性食道炎：可用於治療1歲以上且體重至少達15公斤之嗜伊紅性食道炎(EoE)病人。
６.慢性阻塞性肺病：可作為患有控制不佳之嗜伊紅性白血球表現型慢性阻塞性肺病(COPD)成人病人的附加維持治療(add-on maintenance therapy)。
７.慢性自發性蕁麻疹：可用於治療患有慢性自發性蕁麻疹 （chronic spontaneous urticaria， CSU） 且無法以 H1 抗組織胺治療妥善控制的12 歲以上病人。",預充填式注射劑,dupilumab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001082號,杜避炎注射劑300毫克,Dupixent solution for injection 300mg,"1. 異位性皮膚炎：可用於治療患有中度至重度異位性皮膚炎且對局部處方治療控制不佳或不適合使用該療法的成人病人及6個月以上的兒童病人。可併用或不併用局部皮質類固醇治療。
２.氣喘：可作為6歲以上患有嗜伊紅性白血球表現型或口服皮質類固醇依賴型之中度至重度氣喘病人，在已接受中劑量或高劑量吸入性皮質類固醇(ICS)及第2種控制藥物(如，LABA, LTRA, LAMA或methylxanthines)治療，或單獨接受高劑量ICS治療，仍有氣喘控制不佳現象時的附加維持治療(add-on maintenance therapy)。
３.慢性鼻竇炎合併鼻息肉：可作為患有慢性鼻竇炎合併鼻息肉(CRSwNP)之成人病人在鼻內皮質類固醇治療下仍控制不佳的附加維持治療(add-on maintenance therapy)。
４. 結節性癢疹：可用於需全身性治療的中至重度結節性癢疹(PN)成人病人。
５.嗜伊紅性食道炎：可用於治療1歲以上且體重至少達15公斤之嗜伊紅性食道炎(EoE)病人。
６.慢性阻塞性肺病：可作為患有控制不佳之嗜伊紅性白血球表現型慢性阻塞性肺病(COPD)成人病人的附加維持治療(add-on maintenance therapy)。
７.慢性自發性蕁麻疹：可用於治療患有慢性自發性蕁麻疹 （chronic spontaneous urticaria， CSU） 且無法以 H1 抗組織胺治療妥善控制的12 歲以上病人。",預充填式注射劑,dupilumab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001082號,杜避炎注射劑300毫克,Dupixent solution for injection 300mg,"1. 異位性皮膚炎：可用於治療患有中度至重度異位性皮膚炎且對局部處方治療控制不佳或不適合使用該療法的成人病人及6個月以上的兒童病人。可併用或不併用局部皮質類固醇治療。
２.氣喘：可作為6歲以上患有嗜伊紅性白血球表現型或口服皮質類固醇依賴型之中度至重度氣喘病人，在已接受中劑量或高劑量吸入性皮質類固醇(ICS)及第2種控制藥物(如，LABA, LTRA, LAMA或methylxanthines)治療，或單獨接受高劑量ICS治療，仍有氣喘控制不佳現象時的附加維持治療(add-on maintenance therapy)。
３.慢性鼻竇炎合併鼻息肉：可作為患有慢性鼻竇炎合併鼻息肉(CRSwNP)之成人病人在鼻內皮質類固醇治療下仍控制不佳的附加維持治療(add-on maintenance therapy)。
４. 結節性癢疹：可用於需全身性治療的中至重度結節性癢疹(PN)成人病人。
５.嗜伊紅性食道炎：可用於治療1歲以上且體重至少達15公斤之嗜伊紅性食道炎(EoE)病人。
６.慢性阻塞性肺病：可作為患有控制不佳之嗜伊紅性白血球表現型慢性阻塞性肺病(COPD)成人病人的附加維持治療(add-on maintenance therapy)。
７.慢性自發性蕁麻疹：可用於治療患有慢性自發性蕁麻疹 （chronic spontaneous urticaria， CSU） 且無法以 H1 抗組織胺治療妥善控制的12 歲以上病人。",預充填式注射劑,dupilumab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001082號,杜避炎注射劑300毫克,Dupixent solution for injection 300mg,"1. 異位性皮膚炎：可用於治療患有中度至重度異位性皮膚炎且對局部處方治療控制不佳或不適合使用該療法的成人病人及6個月以上的兒童病人。可併用或不併用局部皮質類固醇治療。
２.氣喘：可作為6歲以上患有嗜伊紅性白血球表現型或口服皮質類固醇依賴型之中度至重度氣喘病人，在已接受中劑量或高劑量吸入性皮質類固醇(ICS)及第2種控制藥物(如，LABA, LTRA, LAMA或methylxanthines)治療，或單獨接受高劑量ICS治療，仍有氣喘控制不佳現象時的附加維持治療(add-on maintenance therapy)。
３.慢性鼻竇炎合併鼻息肉：可作為患有慢性鼻竇炎合併鼻息肉(CRSwNP)之成人病人在鼻內皮質類固醇治療下仍控制不佳的附加維持治療(add-on maintenance therapy)。
４. 結節性癢疹：可用於需全身性治療的中至重度結節性癢疹(PN)成人病人。
５.嗜伊紅性食道炎：可用於治療1歲以上且體重至少達15公斤之嗜伊紅性食道炎(EoE)病人。
６.慢性阻塞性肺病：可作為患有控制不佳之嗜伊紅性白血球表現型慢性阻塞性肺病(COPD)成人病人的附加維持治療(add-on maintenance therapy)。
７.慢性自發性蕁麻疹：可用於治療患有慢性自發性蕁麻疹 （chronic spontaneous urticaria， CSU） 且無法以 H1 抗組織胺治療妥善控制的12 歲以上病人。",預充填式注射劑,dupilumab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001082號,杜避炎注射劑300毫克,Dupixent solution for injection 300mg,"1. 異位性皮膚炎：可用於治療患有中度至重度異位性皮膚炎且對局部處方治療控制不佳或不適合使用該療法的成人病人及6個月以上的兒童病人。可併用或不併用局部皮質類固醇治療。
２.氣喘：可作為6歲以上患有嗜伊紅性白血球表現型或口服皮質類固醇依賴型之中度至重度氣喘病人，在已接受中劑量或高劑量吸入性皮質類固醇(ICS)及第2種控制藥物(如，LABA, LTRA, LAMA或methylxanthines)治療，或單獨接受高劑量ICS治療，仍有氣喘控制不佳現象時的附加維持治療(add-on maintenance therapy)。
３.慢性鼻竇炎合併鼻息肉：可作為患有慢性鼻竇炎合併鼻息肉(CRSwNP)之成人病人在鼻內皮質類固醇治療下仍控制不佳的附加維持治療(add-on maintenance therapy)。
４. 結節性癢疹：可用於需全身性治療的中至重度結節性癢疹(PN)成人病人。
５.嗜伊紅性食道炎：可用於治療1歲以上且體重至少達15公斤之嗜伊紅性食道炎(EoE)病人。
６.慢性阻塞性肺病：可作為患有控制不佳之嗜伊紅性白血球表現型慢性阻塞性肺病(COPD)成人病人的附加維持治療(add-on maintenance therapy)。
７.慢性自發性蕁麻疹：可用於治療患有慢性自發性蕁麻疹 （chronic spontaneous urticaria， CSU） 且無法以 H1 抗組織胺治療妥善控制的12 歲以上病人。",預充填式注射劑,dupilumab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001082號,杜避炎注射劑300毫克,Dupixent solution for injection 300mg,"1. 異位性皮膚炎：可用於治療患有中度至重度異位性皮膚炎且對局部處方治療控制不佳或不適合使用該療法的成人病人及6個月以上的兒童病人。可併用或不併用局部皮質類固醇治療。
２.氣喘：可作為6歲以上患有嗜伊紅性白血球表現型或口服皮質類固醇依賴型之中度至重度氣喘病人，在已接受中劑量或高劑量吸入性皮質類固醇(ICS)及第2種控制藥物(如，LABA, LTRA, LAMA或methylxanthines)治療，或單獨接受高劑量ICS治療，仍有氣喘控制不佳現象時的附加維持治療(add-on maintenance therapy)。
３.慢性鼻竇炎合併鼻息肉：可作為患有慢性鼻竇炎合併鼻息肉(CRSwNP)之成人病人在鼻內皮質類固醇治療下仍控制不佳的附加維持治療(add-on maintenance therapy)。
４. 結節性癢疹：可用於需全身性治療的中至重度結節性癢疹(PN)成人病人。
５.嗜伊紅性食道炎：可用於治療1歲以上且體重至少達15公斤之嗜伊紅性食道炎(EoE)病人。
６.慢性阻塞性肺病：可作為患有控制不佳之嗜伊紅性白血球表現型慢性阻塞性肺病(COPD)成人病人的附加維持治療(add-on maintenance therapy)。
７.慢性自發性蕁麻疹：可用於治療患有慢性自發性蕁麻疹 （chronic spontaneous urticaria， CSU） 且無法以 H1 抗組織胺治療妥善控制的12 歲以上病人。",預充填式注射劑,dupilumab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001082號,杜避炎注射劑300毫克,Dupixent solution for injection 300mg,"1. 異位性皮膚炎：可用於治療患有中度至重度異位性皮膚炎且對局部處方治療控制不佳或不適合使用該療法的成人病人及6個月以上的兒童病人。可併用或不併用局部皮質類固醇治療。
２.氣喘：可作為6歲以上患有嗜伊紅性白血球表現型或口服皮質類固醇依賴型之中度至重度氣喘病人，在已接受中劑量或高劑量吸入性皮質類固醇(ICS)及第2種控制藥物(如，LABA, LTRA, LAMA或methylxanthines)治療，或單獨接受高劑量ICS治療，仍有氣喘控制不佳現象時的附加維持治療(add-on maintenance therapy)。
３.慢性鼻竇炎合併鼻息肉：可作為患有慢性鼻竇炎合併鼻息肉(CRSwNP)之成人病人在鼻內皮質類固醇治療下仍控制不佳的附加維持治療(add-on maintenance therapy)。
４. 結節性癢疹：可用於需全身性治療的中至重度結節性癢疹(PN)成人病人。
５.嗜伊紅性食道炎：可用於治療1歲以上且體重至少達15公斤之嗜伊紅性食道炎(EoE)病人。
６.慢性阻塞性肺病：可作為患有控制不佳之嗜伊紅性白血球表現型慢性阻塞性肺病(COPD)成人病人的附加維持治療(add-on maintenance therapy)。
７.慢性自發性蕁麻疹：可用於治療患有慢性自發性蕁麻疹 （chronic spontaneous urticaria， CSU） 且無法以 H1 抗組織胺治療妥善控制的12 歲以上病人。",預充填式注射劑,dupilumab,,,,,,,,,,,,,,,,,,,,,
衛部菌疫輸字第001082號,杜避炎注射劑300毫克,Dupixent solution for injection 300mg,"1. 異位性皮膚炎：可用於治療患有中度至重度異位性皮膚炎且對局部處方治療控制不佳或不適合使用該療法的成人病人及6個月以上的兒童病人。可併用或不併用局部皮質類固醇治療。
２.氣喘：可作為6歲以上患有嗜伊紅性白血球表現型或口服皮質類固醇依賴型之中度至重度氣喘病人，在已接受中劑量或高劑量吸入性皮質類固醇(ICS)及第2種控制藥物(如，LABA, LTRA, LAMA或methylxanthines)治療，或單獨接受高劑量ICS治療，仍有氣喘控制不佳現象時的附加維持治療(add-on maintenance therapy)。
３.慢性鼻竇炎合併鼻息肉：可作為患有慢性鼻竇炎合併鼻息肉(CRSwNP)之成人病人在鼻內皮質類固醇治療下仍控制不佳的附加維持治療(add-on maintenance therapy)。
４. 結節性癢疹：可用於需全身性治療的中至重度結節性癢疹(PN)成人病人。
５.嗜伊紅性食道炎：可用於治療1歲以上且體重至少達15公斤之嗜伊紅性食道炎(EoE)病人。
６.慢性阻塞性肺病：可作為患有控制不佳之嗜伊紅性白血球表現型慢性阻塞性肺病(COPD)成人病人的附加維持治療(add-on maintenance therapy)。
７.慢性自發性蕁麻疹：可用於治療患有慢性自發性蕁麻疹 （chronic spontaneous urticaria， CSU） 且無法以 H1 抗組織胺治療妥善控制的12 歲以上病人。",預充填式注射劑,dupilumab,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014274號,克敏能錠,CLOROPIRIL TABLETS,蕁麻疹、枯草熱、血管神經性鼻炎、皮膚搔癢症、皮膚炎、接觸性皮膚炎、藥物過敏、過敏性氣喘、血清病、暈動病、美尼攸氏病,錠劑,CHLORPHENIRAMINE MALEATE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014277號,阿克利諾兒,HECTALIN,殺菌、消毒劑,（粉）,ETHACRIDINE LACTATE MONOHYDRATE (ACRINOL),,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014278號,威黴素３００公絲靜脈注射劑,ERYTHROCIN LACTOBIONATE I.V. 300MG,葡萄球菌、鏈球菌、肺炎雙球菌、腦膜炎球菌及其他具有感受性細菌引起之感染症,乾粉注射劑,ERYTHROMYCIN (LACTOBIONATE),,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014279號,賜痙安糖衣錠５０公絲,TAKEKISOL 50,下記疾患引起之痙攣性麻痺、腦中風後遺症、腦性麻痺、亞急性視神經脊髓炎、痙性脊髓麻痺、肌萎縮性側索硬化症、小腦脊髓變性症、多發性硬化症、頸部脊椎症、後縱韌帶骨化症、外傷後遺症（脊髓損傷、頭部外傷）腦、脊髓腫瘍等手術後遺症,糖衣錠,TOLPERISONE HCL,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014280號,得司匹林可溶錠,DISPRIN TABLETS,解熱鎮痛,錠劑,ASPIRIN,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014281號,柔寧益舒膠囊,"DIULEN S, CAPSULE NO.1",利尿、高血壓,膠囊劑,TRIAMTERENE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014282號,鹽酸非那若比汀,PHENYLAZODIAMINO-PYRIDINE HCL,尿道止痛劑,（粉）,PHENAZOPYRIDINE HCL,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014283號,通脈得寧錠,DUVADILAN TABLETS,末梢血管循環障礙、先兆性管產,錠劑,ISOXSUPRINE HCL,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014284號,通脈得寧注射液５公絲/公撮,DUVADILAN INJECTION 5MG/ML,末梢血管障礙、先兆性流產,注射劑,ISOXSUPRINE HCL,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014285號,阿羅巴比土,"DIALLYMALUM, NF/BPC (ALLOBARBITONE)",鎮靜、安眠,（粉）,ALLOBARBITAL,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014288號,益斯蒙注射劑５００公絲,LYSTHENON SICCUM,手術用于鬆弛肌肉,凍晶注射劑,SUCCINYLCHOLINE CHLORIDE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014290號,優福尼爾錠,EUVERNIL,尿道炎、膀胱炎、腎盂灰,錠劑,SULFANILYLUREA (SULFAUREASULFACARBAMIDE),,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014291號,膚克健注射液,HOKUPHAGEN INJECTION,過敏性皮膚疾患、皮膚搔癢症、急慢性濕疹,注射劑,GLYCINE (EQ TO AMINOACETIC ACID)(EQ TO GLYCOCOLL);;GLYCYRRHIZATE AMMONIUM SALT (GLYCAMIL);;L-CYSTEINE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014292號,艾克滴膠囊,ARCAZOL CAPSULES,治療陰道滴蟲感染所引起之陰道炎、白帶、阿米巴痢疾、阿米巴肝膿腫及對ＭＥＴＲＯＮＩＤＡＺＯＬＥ具有感受性之厭氣菌所引起之嚴重感染,膠囊劑,METRONIDAZOLE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014293號,愛明麗用軟膏,ECOMYTRIN-HYDROCORTISONE OPHTHALMIC OINTMENT,眼瞼緣炎、結膜炎、角膜炎,點眼膏劑,NEOMYCIN (HCL);;AMPHOMYCIN (CALCIUM);;HYDROCORTISONE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014297號,樂膚軟膏,RALLY A CREAM,濕疹、皮膚炎、搔癢症、紅斑症、蕁麻疹,軟膏劑,DEXAMETHASONE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014298號,海亞敏１６２２,HYAMINE 1622 (CRYSTALS),消毒、殺菌,原料藥結晶性粉末,BENZETHONIUM CHLORIDE MONOHYDRATE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014299號,海亞敏３５００－５０％,HYAMINE 3500-(50%),消毒、殺菌,原料藥溶液劑,N-ALKYO DIMETHYL BENZYL AMMONIUM CHLOREDE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014300號,"""龍查"" 海亞敏３５００－８０％",HYAMINE 3500-(80%) CONCENTRATE,消毒、殺菌。,原料藥溶液劑,N-ALKYO DIMETHYL BENZYL AMMONIUM CHLOREDE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014301號,海亞敏１６２２－５０％,HYAMINE 1622-(50%),消毒、殺菌,原料藥溶液劑,BENZETHONIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014304號,維生素Ｋ,MENADIONE SODIUM BISULFITE (VITAMIN K3 WATERSOLUBLE),抗出血,（粉）,MENADIONE SODIUM BISULFITE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014305號,９α－１６α－甲基去氫羥化腎上腺皮質素苯磺酸鈉　　　　　　　 D,XAMETHASONE M-SULFOBENZOATE SODIUM SALT,副腎皮質荷爾蒙,（粉）,DEXAMETHASONE SODIUM SULFOBENZOATE M-,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014306號,去氫羥化腎上腺皮質素苯磺酸鈉,PREDNISOLONE M-SULFOBENZOATE  SODIUM SALT,副腎皮質荷爾蒙,（粉）,PREDNISOLONE M-SULFOBENZOATE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014307號,雙苯化/,DIAPHENYLSULFONE,麻瘋病,（粉）,DAPSONE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014308號,氫偶素,ESTRADIOL,女性荷爾蒙,（粉）,ESTRADIOL,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014309號,甲基雄烯二醇,METHYL-ANDROSTENDIOL,蛋白同化荷爾蒙,（粉）,METHANDRIOL (METHYLANDROSTENEDIOL),,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014310號,乙炔氫偶素甲基醚,ETHINYL ESTRADIOL 3-METHYLETHER,女性荷爾蒙,（粉）,MESTRANOL,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014311號,可樂利錠,CHLOTRIDE TABLETS,利尿、高血壓,錠劑,CHLOROTHIAZIDE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014312號,鹽酸乙基罌粟/,ETHAVERINE HYDROCHLORIDE,平滑肌弛緩劑,（粉）,ETHAVERINE HCL (eq to BALBONIN) (eq to Ethylpapaverine HCl),,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014313號,冷水分散性維生素Ａ棕櫚酸鹽２５０　ＣＷＤ　２５０，０００國際,"DRY VITAMIN A-PALMITATE 250CWD (COLD-WATER-DISPERSIBLE 250,000I.U./G PHARMA GRAD",維生素Ａ缺乏症,（粉）,VITAMIN A PALMITATE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014314號,長瀨酵素Ａ１０００,BIOTAMYLASE A1000,消化酵素,（粉）,BIOTAMYLASE A1000,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014315號,硫辛酸,THIOCTIC ACID,維持肝臟機能,（粉）,THIOCTIC ACID (VIT B14ALPHA-LIPOIC ACID),,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014316號,二乙氯基二苯乙醇酸甲氧基溴,DIETHYLAMINOETHYL DIPHENYL GLYCOLATE METHOBROMIDE,十二指腸潰瘍、胃酸過多,（粉）,BENACTYZINE METHOBROMIDE (BENACTYZINE METHYLBROMIDE),,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014317號,長瀨酵素Ｐ１０００,BIOTAMYLASE P1000,消化酵素＊＊ＣＡＬＣＩＵＭ　ＤＩＨＹＤＲＯＧＥＮ　ＰＨＯＳＰＨＡＴＥ：０．３３ＧＭ？ＧＭ　ＰＲＯＴＥＡＳＥ：１０００００ＰＵＮ？ＧＭ,（粉）,BIOTAMYLASE P1000,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014318號,維他命Ｃ,"ASCORBIC ACID COATED ""E.MERCK""(L(+)-ASCORBIC ACID CRYST EXTRA.",維他命Ｃ缺乏症,（粉）,ASCORBIC ACID (VIT C),,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014319號,膽固脂多落軟膠囊,TAKESUTEROL-S CAPSULES,下列疾患伴隨之高膽固醇血症之改善：動脈硬化症,軟膠囊劑,SOYSTEROL (ESTEROL),,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014320號,的確當新黴素眼藥水,DECADRON PHOSPHATE WITH NEOMYCIN EYE SOLUTION,炎症性眼疾、淺性角膜炎、泡性角膜炎,點眼耳液劑,NEOMYCIN SULFATE;;DEXAMETHASONE PHOSPHATE (SODIUM),,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014321號,甲基雄醇酮,METHYL ANDROSTANOLONE,蛋白同化荷爾蒙,（粉）,MESTANOLONE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014322號,無水羥黃体激素,ETHISTERONE,女性荷爾蒙,（粉）,ETHISTERONE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014323號,蘇的諾糖衣錠１０公絲,SORDINOL TABLETS 10MG,神經病狀態,糖衣錠,CLOPENTHIXOL (AS DIHYDROCHLORIDE),,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014324號,  美酒辛,INDOMETHACIN,鎮痛,（粉）,INDOMETHACIN (eq to Indometacin),,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014325號,蘇的諾糖衣錠５公絲,SORDINOL TABLETS 5MG,神經病狀態,糖衣錠,CLOPENTHIXOL (AS DIHYDROCHLORIDE),,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014327號,速必瑞錠２０公絲,SORBITRATE ORAL 20MG TABLETS,預防狹心症之發作,錠劑,ISOSORBIDE DINITRATE/LACTOSE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014328號,乙醯去氫羥化腎上腺皮質素,PREDNISOLONE ACETATE,副腎皮質荷爾蒙,（粉）,PREDNISOLONE ACETATE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014329號,乙酸皮質酮,CORTISONE ACETATE,腎上腺皮質荷爾蒙,（粉）,CORTISONE ACETATE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014330號,"""富田"" 合成矽酸鋁","SYNTHETIC ALUMINUM SILICATE ""TOMITA""",制酸劑,（粉）,SYNTHETIC ALUMINUM SILICATE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014331號,食糖胃蛋白/,PEPSINUM SACCHARATUM,消化酵素,（粉）,PEPSIN SACCHARATED,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014332號,澱粉/,DIASTASUM,消化酵素,（粉）,DIASTASE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014333號,胰/,PANCREATINUM,消化酵素,（粉）,PANCREATIN (DIASTASE VERA),,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014334號,鞣酸蛋白,ALBUMINI TANNAS,收歛、整腸劑,（粉）,ALBUMIN TANNATE (TANNALBIN),,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014335號,培尼皮質酮,PREDNISONE,副腎皮質荷爾蒙,（粉）,PREDNISOLONE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014336號,偶素,ESTRONE,女性荷爾蒙,（粉）,ESTRONE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014337號,乙炔氫偶素,ETHINYLESTRADIOL,女性荷爾蒙,（粉）,ESTRADIOL ETHINYL (EQ TO ETHINYLOESTRADIOL)(EQ TO ETHINYLESTRADIOL),,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014338號,水楊酸,SALICYLIC ACID,消毒殺菌劑,（粉）,SALICYLIC ACID,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014339號,亞樂錠,"ALLOPURINOL TABLETS 100mg ""TOWA""",痛風症、痛風性關節炎、尿酸結石、癌症或經化學治療產生之高尿酸血症。,錠劑,ALLOPURINOL,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014340號,無菌苯基異/唑基配尼西林鈉,SODIUM OXACILLIN STERILE,葡萄狀球菌、鏈鎖球菌、肺炎雙球菌、大腸菌、赤痢菌及綠膿菌引起之感染症,（粉）,OXACILLIN SODIUM,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014341號,無菌雙甲基異二氮二烯位圜配尼西林鉀,POTASSIUM HETACILLIN STERILE BULK,葡萄狀球菌、鏈鎖球菌、肺炎雙球菌、大腸菌、赤痢菌及綠膿菌引起之感染症,（粉）,HETACILLIN POTASSIUM,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014342號,新黴素,NEOMYCIN SULFATE,抗生素,原料藥結晶性粉末,NEOMYCIN SULFATE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014343號,氯/青黴素鈉,CLOXACILLIN SODIUM,葡萄狀球菌、鏈鎖球菌、肺炎雙球菌、大腸菌、赤痢菌及綠膿菌引起之感染症,（粉）,CLOXACILLIN SODIUM,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014344號,睪丸素,TESTOSTERONE,男性荷爾蒙,（粉）,TESTOSTERONE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014345號,利心諾注射液,RUPENOL INJECTION,對於慢性挾心症之治療可能有效,注射劑,DIPYRIDAMOLE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014346號,敵匹利達莫,"DIPYRIDAMOL ""DRESDEN""",冠狀血管擴張劑,（粉）,DIPYRIDAMOLE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014347號,甲氧基氯苯胺乙苯磺胺圜,GLIBENCLAMIDE,降血糖劑,（粉）,GLYBURIDE (EQ TO GLIBENCLAMIDE),,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014348號,優來/液（成人用）,"EUZYMINA, LIQUID FOR ADULTS",胃腸炎、便秘,內服液劑,PEPSIN;;NIACIN (NICOTINIC ACID);;CALCIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014349號,優來/液（小兒用）,"EUZYMINA, (R) LIQUID FOR CHILDREN",嬰兒腸胃炎、頑性便秘,內服液劑,PEPSIN,,,,,,,,,,,,,,,,,,,,,
衛署藥輸字第014350號,路丁,RUTIN,毛細管性出血,（粉）,RUTIN,,,,,,,,,,,,,,,,,,,,,
