許可證字號,形狀,顏色
衛部藥製字第061556號,顆粒劑、粉劑或散劑,白
衛部藥製字第061562號,四邊形,黃
衛部藥製字第061563號,圓形,白
衛部藥製字第061566號,圓形,粉
衛部藥製字第061569號,,;;;
衛部藥製字第061570號,,;;;
衛部藥製字第061573號,圓形,綠
衛部藥製字第061574號,四邊形,白
衛部藥製字第061579號,,
衛部藥製字第061581號,,
衛部藥製字第061582號,,
衛部藥製字第061587號,膠囊,紅;;;紅
衛部藥製字第061588號,圓形,橘
衛部藥製字第061589號,液劑(包含糖漿用粉劑),透明
衛部藥製字第061590號,圓形,黃;;;黃
衛部藥製字第061591號,圓形,白
衛部藥製字第061592號,顆粒劑、粉劑或散劑,粉
衛部藥製字第061795號,圓形,橘
衛部藥製字第061796號,其他,白
衛部藥製字第061799號,其他,白
衛部藥製字第061804號,四邊形,黃
衛部藥製字第061805號,圓形,白
衛部藥製字第061807號,,
衛部藥製字第061808號,圓形,白
衛部藥製字第061809號,橢圓形,白
衛部藥製字第061811號,其他,透明
衛部藥製字第061812號,,
衛部藥製字第061813號,圓形,白
衛部藥製字第061814號,圓形,白
衛部藥製字第061816號,其他,透明;;;透明
衛部藥製字第061817號,膠囊,藍;;;綠
衛部藥製字第061819號,其他,透明
衛部藥製字第061822號,圓形,白;;;白
衛部藥製字第061823號,圓形,黃
衛部藥製字第061825號,,
衛部藥製字第061829號,圓形,黃
衛部藥製字第061830號,其他,白
衛部藥製字第061831號,圓形,白
衛部藥製字第061834號,圓形,白
衛部藥製字第061836號,膠囊,橘
衛部藥製字第061839號,膠囊,橘;;;粉
衛部藥製字第061840號,,
衛部藥製字第061841號,圓形,黃
衛部藥製字第061844號,橢圓形,黃
衛部藥製字第061849號,液劑(包含糖漿用粉劑),透明
衛署藥製字第024703號,膠囊,綠;;;白
衛署藥製字第024706號,圓形,白
衛署藥製字第024708號,圓形,白
衛署藥製字第024730號,橢圓形,白
衛署藥製字第024740號,圓形,白
衛署藥製字第024742號,圓形,白
衛署藥製字第024754號,圓形,白
衛署藥製字第024757號,橢圓形,黃
衛署藥製字第024766號,膠囊,藍;;;白
衛署藥製字第024789號,膠囊,紅;;;白
衛署藥製字第024817號,圓形,粉
衛署藥製字第024837號,橢圓形,黃
衛署藥製字第024838號,膠囊,紅;;;紅
衛署藥製字第024841號,膠囊,紅;;;粉
衛署藥製字第024843號,圓形,綠
衛署藥製字第024866號,圓形,藍
