許可證字號,形狀,顏色
衛署藥製字第027506號,膠囊,紅
衛署藥製字第027508號,膠囊,紅;;;粉
衛署藥製字第027510號,膠囊,紅;;;紅
衛署藥製字第027513號,膠囊,藍;;;白
衛署藥製字第027528號,圓形,綠
衛署藥製字第027532號,圓形,黃
衛署藥製字第027536號,圓形,白
衛署藥製字第027558號,圓形,黃
衛署藥製字第027569號,圓形,粉
衛署藥製字第027598號,膠囊,綠;;;綠
衛署藥製字第027629號,膠囊,紫;;;紫
衛署藥製字第027676號,膠囊,棕;;;白
衛署藥製字第027775號,圓形,黃
衛署藥製字第027849號,圓形,黃
衛署藥製字第027912號,圓形,黃
衛署藥製字第027917號,圓形,灰
衛署藥製字第027918號,顆粒劑、粉劑或散劑,白
衛署藥製字第027936號,膠囊,紅;;;白
衛署藥製字第027940號,圓形,白
衛署藥製字第027943號,圓形,白
衛署藥製字第027954號,其他,白
衛署藥製字第027964號,膠囊,橘;;;橘
衛署藥製字第027971號,膠囊,白;;;白
衛署藥製字第028014號,膠囊,灰;;;白
衛署藥製字第028017號,圓形,橘
衛署藥製字第028041號,圓形,白
衛署藥製字第028054號,圓形,白
衛署藥製字第028055號,圓形,白
衛署藥製字第028078號,圓形,白
衛署藥製字第028079號,圓形,白
衛署藥製字第028130號,橢圓形,黃
衛署藥製字第028136號,圓形,黃
衛署藥製字第028142號,圓形,白
衛署藥製字第028162號,液劑(包含糖漿用粉劑),白
衛署藥製字第028210號,圓形,白
衛署藥製字第028218號,膠囊,綠;;;白
衛署藥製字第028219號,膠囊,橘;;;橘
衛署藥製字第028283號,膠囊,黃;;;白
衛署藥製字第028284號,圓形,綠
衛署藥製字第028312號,圓形,綠
衛署藥製字第028332號,圓形,白
衛署藥製字第028333號,膠囊,紅;;;紅
衛署藥製字第028379號,膠囊,紅
衛署藥製字第028461號,圓形,白
衛署藥製字第028476號,圓形,綠
衛署藥製字第028482號,圓形,粉
衛署藥製字第028610號,橢圓形,白
衛署藥製字第028619號,膠囊,藍;;;藍
衛署藥製字第028621號,膠囊,紅;;;透明
衛署藥製字第028622號,膠囊,紅;;;黃
衛署藥製字第028623號,膠囊,藍綠;;;黃
衛署藥製字第028648號,膠囊,綠;;;白
衛署藥製字第028649號,圓形,藍
衛署藥製字第028779號,圓形,白
衛署藥製字第028803號,圓形,黃
衛署藥製字第028927號,圓形,粉
衛署藥製字第028939號,圓形,白
衛署藥製字第028945號,圓形,白
衛署藥製字第028957號,圓形,藍
衛署藥製字第028965號,膠囊,藍綠;;;粉
衛署藥製字第029008號,圓形,橘
衛署藥製字第029015號,橢圓形,白
衛署藥製字第029029號,圓形,白
衛署藥製字第029034號,膠囊,紅;;;粉
衛署藥製字第029037號,膠囊,棕;;;棕
衛署藥製字第029079號,膠囊,藍;;;白
衛署藥製字第029081號,四邊形,橘
衛署藥製字第029082號,膠囊,紅;;;粉
衛署藥製字第029090號,圓形,橘
衛署藥製字第029106號,六邊形,白
衛署藥製字第029129號,圓形,灰
衛署藥製字第029131號,膠囊,黑;;;紅
衛署藥製字第029132號,膠囊,綠;;;綠
衛署藥製字第029172號,膠囊,綠;;;綠
衛署藥製字第029179號,圓形,白
衛署藥製字第029180號,膠囊,灰;;;白
衛署藥製字第029183號,圓形,白
衛署藥製字第029210號,圓形,棕
衛署藥製字第029211號,膠囊,綠;;;黃
衛署藥製字第029226號,膠囊,紅;;;橘
衛署藥製字第029227號,圓形,黃
衛署藥製字第029251號,圓形,黃
衛署藥製字第029313號,圓形,白
衛署藥製字第029320號,圓形,橘;;;橘
衛署藥製字第029349號,圓形,綠
衛署藥製字第029352號,圓形,橘
衛署藥製字第029356號,圓形,白
衛署藥製字第029359號,圓形,白
衛署藥製字第029375號,圓形,白
衛署藥製字第029378號,圓形,黃
衛署藥製字第029418號,圓形,綠
衛署藥製字第029440號,圓形,黃
衛署藥製字第029465號,四邊形,白
衛署藥製字第029476號,膠囊,白;;;白
衛署藥製字第029478號,圓形,白
衛署藥製字第029503號,圓形,粉
衛署藥製字第029510號,圓形,白
衛署藥製字第029512號,圓形,白
衛署藥製字第029513號,橢圓形,白
衛署藥製字第029515號,圓形,白
衛署藥製字第029543號,圓形,白
衛署藥製字第029545號,圓形,白
衛署藥製字第029546號,膠囊,紅;;;紅
衛署藥製字第029549號,膠囊,橘;;;橘
衛署藥製字第029562號,膠囊,白
衛署藥製字第029576號,膠囊,白;;;白
衛署藥製字第029581號,四邊形,黃
衛署藥製字第029590號,膠囊,棕;;;棕
衛署藥製字第029601號,圓形,粉
衛署藥製字第029617號,圓形,白
衛署藥製字第029630號,膠囊,紅;;;橘
衛署藥製字第029634號,液劑(包含糖漿用粉劑);;;液劑(包含糖漿用粉劑),紫;;;黃
衛署藥製字第029702號,圓形,黃
衛署藥製字第029704號,圓形,白
衛署藥製字第029727號,圓形,白
衛署藥製字第029729號,圓形,白
衛署藥製字第029735號,圓形,白
衛署藥製字第029736號,圓形,白
衛署藥製字第029747號,膠囊,黃;;;透明
衛署藥製字第029752號,圓形,綠
衛署藥製字第038174號,膠囊,綠;;;綠
衛署藥製字第038186號,膠囊,紅;;;粉
衛署藥製字第038194號,膠囊,黃;;;黃
衛署藥製字第038204號,圓形,白
衛署藥製字第038211號,橢圓形,黃
衛署藥製字第038213號,圓形,白
衛署藥製字第038235號,橢圓形,紅
衛署藥製字第038244號,四邊形,黃
衛署藥製字第038247號,橢圓形,粉
衛署藥製字第038261號,顆粒劑、粉劑或散劑,藍
衛署藥製字第038263號,三角形,黃
衛署藥製字第038266號,圓形,藍
衛署藥製字第038275號,顆粒劑、粉劑或散劑,橘
衛署藥製字第038291號,四邊形,橘
衛署藥製字第038295號,圓形,白
衛署藥製字第038311號,圓形,綠
衛署藥製字第038320號,四邊形,黃
衛署藥製字第038325號,四邊形,白
衛署藥製字第038332號,膠囊,藍;;;白
衛署藥製字第038333號,膠囊,藍;;;藍
衛署藥製字第038357號,膠囊,綠;;;綠
衛署藥製字第038368號,橢圓形,白
衛署藥製字第038415號,圓形,黃
衛署藥製字第038419號,圓形,綠
衛署藥製字第038422號,圓形,白
衛署藥製字第038426號,膠囊,黃;;;黃
衛署藥製字第038450號,圓形,白
衛署藥製字第038453號,圓形,白
衛署藥製字第038454號,圓形,白
衛署藥製字第038460號,圓形,綠
衛署藥製字第038462號,圓形,白
衛署藥製字第038465號,圓形,黃
衛署藥製字第038466號,圓形,黃
衛署藥製字第038474號,圓形,白
衛署藥製字第038478號,四邊形,白
衛署藥製字第038479號,圓形,棕
衛署藥製字第038487號,圓形,白
衛署藥製字第038488號,圓形,黃
衛署藥製字第038489號,四邊形,黃
衛署藥製字第038490號,圓形,黃
衛署藥製字第038491號,四邊形,白
衛署藥製字第038493號,橢圓形,黃
衛署藥製字第038494號,圓形,白
衛署藥製字第038498號,圓形,白
衛署藥製字第038504號,圓形,白
衛署藥製字第038506號,圓形,白
衛署藥製字第038510號,圓形,白
衛署藥製字第038528號,四邊形,白
衛署藥製字第038540號,其他,白
衛署藥製字第038543號,圓形,黃
衛署藥製字第038554號,圓形,白
衛署藥製字第038559號,圓形,白
衛署藥製字第038574號,圓形,白
衛署藥製字第038589號,橢圓形,白
衛署藥製字第038592號,圓形,白
衛署藥製字第038599號,六邊形;;;六邊形,黃;;;黃
衛署藥製字第038609號,四邊形,白
衛署藥製字第038612號,圓形,白
衛署藥製字第038616號,膠囊,黑;;;紅
衛署藥製字第038622號,圓形,橘
衛署藥製字第038624號,顆粒劑、粉劑或散劑,棕
衛署藥製字第038650號,圓形,白
衛署藥製字第038680號,四邊形,白
衛署藥製字第038685號,四邊形,白
衛署藥製字第038722號,圓形,橘
衛署藥製字第038747號,圓形,白
衛署藥製字第038761號,膠囊,綠;;;橘
衛署藥製字第038763號,四邊形,白
衛署藥製字第038764號,圓形;;;圓形,白;;;藍
衛署藥製字第038766號,圓形,橘
衛署藥製字第038776號,橢圓形,橘
衛署藥製字第038810號,膠囊,紅;;;紅
衛署藥製字第038819號,膠囊,白;;;白
衛署藥製字第038840號,膠囊,紅;;;紅
衛署藥製字第038842號,四邊形,白
衛署藥製字第038844號,膠囊,粉;;;白
衛署藥製字第038846號,圓形,白
衛署藥製字第038856號,圓形,棕
衛署藥製字第038860號,圓形,白
衛署藥製字第038870號,其他,白
衛署藥製字第038946號,圓形,白
衛署藥製字第038948號,膠囊,綠;;;白
衛署藥製字第038953號,橢圓形,綠
衛署藥製字第038955號,圓形,白
衛署藥製字第038968號,顆粒劑、粉劑或散劑,橘
衛署藥製字第038974號,膠囊,紅;;;紅
衛署藥製字第038983號,圓形,橘
衛署藥製字第039007號,圓形,白
衛署藥製字第039013號,圓形,白
衛署藥製字第039017號,其他,白
衛署藥製字第039056號,圓形,橘
衛署藥製字第039067號,液劑(包含糖漿用粉劑),黃
衛署藥製字第039087號,橢圓形,白
衛署藥製字第039120號,膠囊,黃;;;黃
衛署藥製字第039168號,圓形,棕
衛署藥製字第039218號,圓形,白
衛署藥製字第039221號,四邊形,白
衛署藥製字第039229號,圓形,黃
衛署藥製字第039239號,圓形,黃
衛署藥製字第039277號,四邊形,紅
衛署藥製字第039291號,膠囊,綠;;;綠
衛署藥製字第039292號,圓形,白
衛署藥製字第039304號,圓形,粉;;;粉
衛署藥製字第039305號,圓形,白
衛署藥製字第039311號,圓形,白
衛署藥製字第039312號,圓形,白
衛署藥製字第039315號,六邊形,橘
衛署藥製字第039320號,四邊形,白;;;黃
衛署藥製字第039336號,液劑(包含糖漿用粉劑),棕
衛署藥製字第039350號,其他,白
衛署藥製字第039351號,其他,白
衛署藥製字第039362號,,透明
衛署藥製字第039366號,圓形,白
衛署藥製字第039368號,橢圓形,藍
衛署藥製字第039385號,圓形,白
衛署藥製字第039387號,膠囊,黃;;;白
衛署藥製字第039388號,圓形,粉
衛署藥製字第039397號,橢圓形,橘
衛署藥製字第039403號,八邊形,藍
衛署藥製字第039407號,圓形,橘
衛署藥製字第039409號,四邊形,棕
衛署藥製字第039414號,四邊形,橘
衛署藥製字第039431號,圓形,橘
衛署藥製字第039484號,膠囊,紅;;;白
衛署藥製字第039518號,圓形,白
衛署藥製字第039519號,膠囊,紅;;;黃
衛署藥製字第039537號,膠囊,紅;;;紅
衛署藥製字第039547號,圓形,白
衛署藥製字第039559號,圓形,白
衛署藥製字第039560號,膠囊,紅;;;黃
衛署藥製字第039566號,圓形,粉
衛署藥製字第039584號,圓形,橘
衛署藥製字第039587號,膠囊,紫;;;透明
衛署藥製字第039589號,圓形,藍
衛署藥製字第039595號,膠囊,黃;;;黃
衛署藥製字第039597號,圓形,白
衛署藥製字第039615號,圓形,綠
衛署藥製字第039621號,橢圓形,白
衛署藥製字第039625號,膠囊,綠
衛署藥製字第039651號,圓形,黃
衛署藥製字第039658號,膠囊,紅;;;白
衛署藥製字第039661號,六邊形,白
衛署藥製字第039662號,圓形,橘
衛署藥製字第039683號,圓形,白
衛署藥製字第039688號,圓形,黃
衛署藥製字第039692號,六邊形,黃
衛署藥製字第039701號,液劑(包含糖漿用粉劑),黃
衛署藥製字第039703號,圓形,橘
衛署藥製字第039718號,圓形,橘
衛署藥製字第039725號,膠囊,紅;;;紅
衛署藥製字第039769號,膠囊,綠;;;綠
衛署藥製字第039772號,圓形,橘
衛署藥製字第039778號,四邊形,白
衛署藥製字第039779號,膠囊,橘;;;透明
衛署藥製字第039788號,圓形,白
衛署藥製字第039790號,圓形,白
衛署藥製字第039794號,圓形,白
衛署藥製字第039804號,膠囊,綠;;;白
衛署藥製字第039819號,圓形,白
衛署藥製字第039822號,圓形,白
衛署藥製字第039831號,圓形,白
衛署藥製字第039843號,圓形,白
衛署藥製字第039851號,膠囊,黑;;;黃
衛署藥製字第039863號,圓形,綠
衛署藥製字第046023號,膠囊,藍;;;白
衛署藥製字第046028號,圓形,粉;;;粉
衛署藥製字第046029號,圓形,粉
衛署藥製字第046047號,圓形,粉
衛署藥製字第046049號,橢圓形,粉
衛署藥製字第046050號,圓形,黃
衛署藥製字第046067號,膠囊,紅;;;透明
衛署藥製字第046072號,膠囊,綠;;;透明
衛署藥製字第046074號,雙圓形,綠
衛署藥製字第046077號,圓形,白
衛署藥製字第046118號,圓形,白
衛署藥製字第046145號,圓形,黃
衛署藥製字第046166號,圓形,棕
衛署藥製字第046182號,膠囊,藍;;;藍
衛署藥製字第046200號,圓形,白;;;白
衛署藥製字第046224號,液劑(包含糖漿用粉劑),白
衛署藥製字第046225號,圓形,棕
衛署藥製字第046236號,圓形,白
衛署藥製字第046246號,膠囊,白;;;白
衛署藥製字第046255號,四邊形,白
衛署藥製字第046273號,橢圓形,粉
衛署藥製字第046283號,膠囊,藍;;;粉
衛署藥製字第046286號,圓形,黃
衛署藥製字第046311號,圓形,黃
衛署藥製字第046312號,圓形,黃
衛署藥製字第046336號,,
衛署藥製字第046350號,膠囊,藍;;;粉
衛署藥製字第046351號,圓形,白
衛署藥製字第046384號,膠囊,紅;;;紅
衛署藥製字第046386號,圓形,黃
衛署藥製字第046387號,圓形,黃
衛署藥製字第046400號,液劑(包含糖漿用粉劑);;;液劑(包含糖漿用粉劑),棕;;;棕
衛署藥製字第046402號,橢圓形,橘
衛署藥製字第046403號,圓形,黃
衛署藥製字第046404號,圓形,白
衛署藥製字第046424號,四邊形,藍
衛署藥製字第046432號,圓形,白
衛署藥製字第046439號,膠囊,白;;;白
衛署藥製字第046440號,圓形,白
衛署藥製字第046441號,圓形,白
衛署藥製字第046443號,圓形,黃
衛署藥製字第046447號,圓形,白
衛署藥製字第046458號,圓形,黃
衛署藥製字第046460號,圓形,白
衛署藥製字第046461號,圓形,黃
衛署藥製字第046475號,圓形,綠
衛署藥製字第046482號,其他,白
衛署藥製字第046486號,橢圓形,白
衛署藥製字第046488號,圓形,黃
衛署藥製字第046489號,圓形,白
衛署藥製字第046524號,橢圓形,白
衛署藥製字第046525號,橢圓形,橘
衛署藥製字第046538號,圓形,白
衛署藥製字第046546號,四邊形,黃
衛署藥製字第046549號,圓形,白
衛署藥製字第046563號,橢圓形,白;;;白
衛署藥製字第046579號,橢圓形,白
衛署藥製字第046583號,圓形,白
衛署藥製字第046587號,圓形,粉
衛署藥製字第046588號,橢圓形,橘
衛署藥製字第046604號,圓形,黃
衛署藥製字第046606號,橢圓形,白
衛署藥製字第046609號,膠囊,紅;;;黃
衛署藥製字第046612號,其他,白
衛署藥製字第046634號,圓形,白
衛署藥製字第046638號,四邊形,黃
衛署藥製字第046646號,橢圓形,黃
衛署藥製字第046647號,雙圓形,綠
衛署藥製字第046656號,圓形,白
衛署藥製字第046658號,橢圓形,白
衛署藥製字第046659號,圓形,橘
衛署藥製字第046678號,膠囊,紅;;;白
衛署藥製字第046679號,膠囊,紅;;;白
衛署藥製字第046681號,橢圓形,白
衛署藥製字第046682號,圓形,橘
衛署藥製字第046683號,圓形,藍
衛署藥製字第046697號,六邊形,藍
衛署藥製字第046699號,圓形,黃
衛署藥製字第046706號,圓形,黃
衛署藥製字第046729號,圓形,白
衛署藥製字第046733號,橢圓形,黃;;;黃
衛署藥製字第046742號,圓形,白
衛署藥製字第046746號,四邊形,黃
衛署藥製字第046753號,液劑(包含糖漿用粉劑);;;液劑(包含糖漿用粉劑),棕;;;橘
衛署藥製字第046756號,橢圓形,白
衛署藥製字第046758號,圓形,棕
衛署藥製字第046759號,圓形,粉
衛署藥製字第046766號,雙圓形,綠
衛署藥製字第046867號,圓形,白
衛署藥製字第046872號,顆粒劑、粉劑或散劑,橘
衛署藥製字第046903號,圓形,粉
衛署藥製字第046929號,膠囊,綠;;;綠
衛署藥製字第046934號,液劑(包含糖漿用粉劑),橘
衛署藥製字第046935號,膠囊,紅;;;白
衛署藥製字第046937號,圓形,白
衛署藥製字第046938號,五邊形,白
衛署藥製字第046940號,圓形,白
衛署藥製字第046978號,圓形,黃
衛署藥製字第046979號,膠囊,白;;;白
衛署藥製字第046980號,膠囊,紅;;;白
衛署藥製字第046989號,圓形,黃
衛署藥製字第046992號,六邊形,白
衛署藥製字第046995號,膠囊,紅;;;白
衛署藥製字第047044號,圓形,白
衛署藥製字第047045號,圓形,白
衛署藥製字第047047號,膠囊,紅;;;透明
衛署藥製字第047050號,膠囊,黑;;;紅
衛署藥製字第047073號,圓形,黃
衛署藥製字第047078號,圓形,黃
衛署藥製字第047086號,橢圓形,白
衛署藥製字第047091號,圓形,白
衛署藥製字第047092號,圓形,白
衛署藥製字第047093號,八邊形,白
衛署藥製字第047114號,五邊形,黃
衛署藥製字第047140號,圓形,粉
衛署藥製字第047143號,其他,白
衛署藥製字第047145號,膠囊,紅;;;黃
衛署藥製字第047146號,液劑(包含糖漿用粉劑),藍
衛署藥製字第047168號,圓形,黃
衛署藥製字第047172號,雙圓形,綠
衛署藥製字第047176號,圓形,白
衛署藥製字第047181號,圓形,白
衛署藥製字第047227號,圓形,白
衛署藥製字第047228號,圓形,白
衛署藥製字第047230號,六邊形,黃
衛署藥製字第047231號,圓形,白
衛署藥製字第047232號,圓形,白
衛署藥製字第047235號,膠囊,綠;;;白
衛署藥製字第047258號,雙圓形,綠
衛署藥製字第047265號,圓形,粉
衛署藥製字第047268號,圓形,黃
衛署藥製字第047272號,圓形,白
衛署藥製字第047290號,橢圓形,橘
衛署藥製字第047294號,橢圓形,橘
衛署藥製字第047295號,圓形,白
衛署藥製字第047305號,膠囊,藍;;;白
衛署藥製字第047306號,圓形,粉
衛署藥製字第047307號,圓形,黃
衛署藥製字第047327號,膠囊,紅;;;紅
衛署藥製字第047341號,橢圓形,黃
衛署藥製字第047346號,圓形,白
衛署藥製字第047371號,膠囊,綠;;;白
衛署藥製字第047373號,橢圓形,白
衛署藥製字第047374號,圓形,粉
衛署藥製字第047399號,橢圓形,粉
衛署藥製字第047400號,四邊形,黃
衛署藥製字第047407號,橢圓形,黃;;;黃
衛署藥製字第047419號,橢圓形,白
衛署藥製字第047441號,圓形,黃
衛署藥製字第047444號,圓形,白
衛署藥製字第047460號,圓形,白
衛署藥製字第047461號,圓形,黃
衛署藥製字第047469號,圓形,白
衛署藥製字第047473號,液劑(包含糖漿用粉劑),
衛署藥製字第047476號,四邊形,橘
衛署藥製字第047479號,圓形,橘
衛署藥製字第047482號,圓形,白
衛署藥製字第047486號,顆粒劑、粉劑或散劑,黃
衛署藥製字第047512號,圓形,白
衛署藥製字第047516號,橢圓形,黃
衛署藥製字第047519號,圓形,白
衛署藥製字第047532號,四邊形,白
衛署藥製字第047534號,橢圓形,黃
衛署藥製字第047535號,顆粒劑、粉劑或散劑,綠
衛署藥製字第047538號,其他,黃
衛署藥製字第047539號,圓形,白
衛署藥製字第047553號,橢圓形,白
衛署藥製字第047558號,四邊形,綠
衛署藥製字第047567號,四邊形,白
衛署藥製字第047568號,四邊形,黃
衛署藥製字第047569號,四邊形,白
衛署藥製字第047599號,膠囊,粉;;;白
衛署藥製字第047606號,五邊形,粉
衛署藥製字第047614號,圓形,橘
衛部罕藥輸字第000065號,圓形,粉
衛部罕藥輸字第000067號,膠囊,粉;;;粉
衛部罕藥輸字第000077號,膠囊,灰;;;灰
衛部罕藥輸字第000078號,膠囊,灰;;;橘
衛部罕藥輸字第000079號,膠囊,橘;;;橘
衛部罕藥輸字第000080號,膠囊,白;;;白
衛部罕藥輸字第000092號,圓形,白
衛部罕藥輸字第000095號,液劑(包含糖漿用粉劑),透明
衛部罕藥輸字第000100號,橢圓形,白
衛部罕藥輸字第000102號,膠囊,黃
衛部罕藥輸字第000103號,圓形,橘
衛部菌疫輸字第001015號,,
衛部菌疫輸字第001074號,圓形,白
衛部菌疫輸字第001089號,,
衛部菌疫輸字第001108號,,
衛部菌疫輸字第001136號,,
衛部菌疫輸字第001144號,,
衛部菌疫輸字第001150號,,
衛部菌疫輸字第001169號,橢圓形,白
衛部菌疫輸字第001170號,橢圓形,白
衛部菌疫輸字第001171號,橢圓形,白
衛部菌疫輸字第001185號,,
衛部菌疫輸字第001284號,,;;;
衛部藥製字第058025號,膠囊,黃;;;白
衛部藥製字第058027號,膠囊,藍;;;藍
衛部藥製字第058028號,圓形,白
衛部藥製字第058030號,橢圓形,白
衛部藥製字第058038號,圓形,白
衛部藥製字第058046號,圓形,白
衛部藥製字第058047號,圓形,白
衛部藥製字第058048號,圓形,白
衛部藥製字第058051號,橢圓形,白
衛部藥製字第058055號,橢圓形,粉
衛部藥製字第058060號,圓形,黃
衛部藥製字第058061號,圓形,紫
衛部藥製字第058064號,圓形,橘
衛部藥製字第058065號,,
衛部藥製字第058071號,橢圓形,白
衛部藥製字第058072號,四邊形,白
衛部藥製字第058078號,圓形,白
衛部藥製字第058080號,液劑(包含糖漿用粉劑),綠
衛部藥製字第058085號,橢圓形,黃
衛部藥製字第058091號,三角形,白
衛部藥製字第058092號,圓形,白
衛部藥製字第058093號,圓形,橘
衛部藥製字第058097號,,
衛部藥製字第058101號,膠囊,紫;;;粉
衛部藥製字第058112號,圓形,黃
衛部藥製字第058113號,膠囊,黑;;;紅
衛部藥製字第058116號,液劑(包含糖漿用粉劑),黃
衛部藥製字第058117號,圓形,粉
衛部藥製字第058121號,橢圓形,黃
衛部藥製字第058135號,圓形,白
衛部藥製字第058138號,圓形,黃
衛部藥製字第058153號,橢圓形,藍
衛部藥製字第058161號,八邊形,粉
衛部藥製字第058174號,圓形,黃
衛部藥製字第058175號,液劑(包含糖漿用粉劑),棕
衛部藥製字第058181號,膠囊,藍;;;白
衛部藥製字第058188號,橢圓形,黃
衛部藥製字第058195號,四邊形,藍
衛部藥製字第058197號,橢圓形,黃
衛部藥製字第058198號,圓形,黃
衛部藥製字第058202號,圓形,透明
衛部藥製字第058203號,圓形,黃
衛部藥製字第058204號,圓形,黃
衛部藥製字第058206號,膠囊,橘;;;橘
衛部藥製字第058211號,橢圓形,白
衛部藥製字第058213號,圓形,黃
衛部藥製字第058217號,膠囊,白;;;白
衛部藥製字第058220號,膠囊,藍;;;藍
衛部藥製字第058233號,圓形,白
衛部藥製字第058234號,橢圓形,橘
衛部藥製字第058235號,橢圓形,白
衛部藥製字第058237號,橢圓形,粉
衛部藥製字第058240號,三角形,紅
衛部藥製字第058244號,圓形,白
衛部藥製字第058245號,顆粒劑、粉劑或散劑,白
衛部藥製字第058252號,橢圓形,白
衛部藥製字第058253號,圓形,白
衛部藥製字第058256號,四邊形,白
衛部藥製字第058264號,橢圓形,綠
衛部藥製字第058268號,圓形,粉
衛部藥製字第058273號,圓形,橘
衛部藥製字第058278號,八邊形,白
衛部藥製字第058284號,四邊形,白
衛部藥製字第058288號,橢圓形,棕
衛部藥製字第058291號,圓形,粉
衛部藥製字第058295號,,
衛部藥製字第058297號,,
衛部藥製字第058300號,液劑(包含糖漿用粉劑),黑
衛部藥製字第058302號,四邊形,黃
衛部藥製字第058306號,膠囊,藍;;;白
衛部藥製字第058310號,圓形,黃
衛部藥製字第058312號,圓形,白
衛部藥製字第058313號,,
衛部藥製字第058315號,圓形,粉
衛部藥製字第058316號,圓形,黃
衛部藥製字第058320號,圓形,綠
衛部藥製字第058322號,液劑(包含糖漿用粉劑),透明
衛部藥製字第058329號,膠囊,紫;;;紫
衛部藥製字第058332號,圓形,白
衛部藥製字第058333號,膠囊,粉;;;粉
衛部藥製字第058334號,三角形,粉
衛部藥製字第058335號,三角形,白
衛部藥製字第058336號,橢圓形,白
衛部藥製字第058337號,膠囊,黑;;;灰
衛部藥製字第058340號,四邊形,粉
衛部藥製字第058347號,液劑(包含糖漿用粉劑),藍
衛部藥製字第058349號,圓形,黃
衛部藥製字第058350號,圓形,白
衛部藥製字第058358號,膠囊,粉;;;粉
衛部藥製字第058370號,橢圓形,黃
衛部藥製字第058373號,圓形,白
衛部藥製字第058377號,圓形,白
衛部藥製字第058378號,四邊形,白
衛部藥製字第058384號,圓形,粉
衛部藥製字第058385號,膠囊,紅;;;紅
衛部藥製字第058389號,圓形,棕
衛部藥製字第058390號,膠囊,棕;;;紅
衛部藥製字第058391號,四邊形,綠
衛部藥製字第058393號,圓形,白
衛部藥製字第058395號,六邊形,橘
衛部藥製字第058401號,圓形,白
衛部藥製字第058402號,圓形,白
衛部藥製字第058405號,圓形,黃
衛部藥製字第058410號,圓形,白
衛部藥製字第058411號,圓形,橘;;;橘
衛部藥製字第058517號,橢圓形,白
衛部藥製字第058518號,圓形,黃
衛部藥製字第058522號,橢圓形,白
衛部藥製字第058523號,圓形,白
衛部藥製字第058534號,四邊形,白
衛部藥製字第058535號,四邊形,白
衛部藥製字第058536號,,
衛部藥製字第058538號,圓形,黃
衛部藥製字第058540號,膠囊,藍;;;藍
衛部藥製字第058543號,圓形,白
衛部藥製字第058545號,圓形,綠
衛部藥製字第058549號,圓形,黃
衛部藥製字第058559號,圓形,白
衛部藥製字第058561號,圓形,黃
衛部藥製字第058564號,圓形,黃
衛部藥製字第058567號,,
衛部藥製字第058577號,圓形,綠
衛部藥製字第058581號,,
衛部藥製字第058586號,圓形,白
衛部藥製字第058589號,圓形,黃
衛部藥製字第058592號,圓形,黃
衛部藥製字第058595號,膠囊,棕;;;棕
衛部藥製字第058596號,圓形,白
衛部藥製字第058598號,膠囊,藍綠;;;白
衛部藥製字第058599號,橢圓形,藍
衛部藥製字第058604號,圓形,白
衛部藥製字第058613號,圓形,白
衛部藥製字第058618號,圓形,白
衛部藥製字第058620號,圓形,黃
衛部藥製字第058622號,圓形,黃
衛部藥製字第058623號,圓形,白
衛部藥製字第058624號,圓形,粉
衛部藥製字第058627號,圓形,黃
衛部藥製字第058628號,橢圓形,黃
衛部藥製字第058633號,圓形,白
衛部藥製字第058634號,橢圓形,黃
衛部藥製字第058638號,圓形,白
衛部藥製字第058639號,圓形,白
衛部藥製字第058641號,圓形,橘
衛部藥製字第058643號,,
衛部藥製字第058645號,,
衛部藥製字第058648號,圓形,白
衛部藥製字第058754號,膠囊,紅;;;白
衛部藥製字第058755號,圓形,黃
衛部藥製字第058762號,膠囊,綠;;;黃
衛部藥製字第058773號,,
衛部藥製字第058774號,,;;;
衛部藥製字第058778號,三角形,粉
衛部藥製字第058783號,四邊形,白
衛部藥製字第058785號,四邊形,白
衛部藥製字第058792號,顆粒劑、粉劑或散劑,白
衛部藥製字第058793號,橢圓形,白
衛部藥製字第058797號,圓形,粉
衛部藥製字第058801號,圓形,橘
衛部藥製字第058810號,膠囊,紅;;;白
衛部藥製字第058813號,圓形,粉
衛部藥製字第058817號,圓形,黃
衛部藥製字第058821號,圓形,黃
衛部藥製字第058822號,圓形,黃
衛部藥製字第058829號,圓形,白
衛部藥製字第058834號,圓形,白
衛部藥製字第058838號,橢圓形,白
衛部藥製字第058841號,圓形,白
衛部藥製字第058945號,其他,白
衛部藥製字第058946號,膠囊,紅;;;白
衛部藥製字第058947號,圓形,白
衛部藥製字第058949號,橢圓形,白
衛部藥製字第058950號,橢圓形,白
衛部藥製字第058954號,橢圓形,白
衛部藥製字第058955號,四邊形,白
衛部藥製字第058956號,液劑(包含糖漿用粉劑),黃
衛部藥製字第058958號,液劑(包含糖漿用粉劑),透明
衛部藥製字第058967號,顆粒劑、粉劑或散劑,黃
衛部藥製字第058969號,圓形,粉;;;粉
衛部藥製字第058973號,膠囊,白
衛部藥製字第058974號,橢圓形,白
衛部藥製字第058975號,圓形,白;;;白
衛部藥製字第058976號,圓形,白
衛部藥製字第058977號,圓形,白
衛部藥製字第058984號,圓形,黃
衛部藥製字第058989號,橢圓形,藍
衛部藥製字第058998號,膠囊,白;;;白
衛部藥製字第059014號,橢圓形,白
衛部藥製字第059019號,膠囊,透明
衛部藥製字第059027號,圓形,藍
衛部藥製字第059032號,橢圓形,白
衛部藥製字第059033號,四邊形,粉
衛部藥製字第059040號,顆粒劑、粉劑或散劑,白
衛部藥製字第059043號,圓形,黃
衛部藥製字第059050號,圓形,黃
